ano;dia;mes;nome;status;tipo
2020;2;1;Alice Gamba;Nao Concluido;VIP
2020;3;1;Alice Gamba;Concluido;Pista Premium
2020;2;1;Amy Mejia;Problema no Pagamento;Pista Premium
2020;3;1;Andrea Galyen;Nao Concluido;VIP
2020;1;1;Andrea Galyen;Nao Concluido;Pista
2020;3;1;Barbara Mcneil;Concluido;Pista Premium
2020;1;1;Benjamin Mcdonald;Nao Concluido;VIP
2020;1;1;Blanche Knox;Nao Concluido;Pista Premium
2020;1;1;Brenda Key;Concluido;Pista Premium
2020;3;1;Brenda Kozak;Problema no Pagamento;Pista Premium
2020;1;1;Charles Hershenson;Nao Concluido;VIP
2020;1;1;Clara Faupel;Concluido;Pista Premium
2020;2;1;Courtney Edwards;Concluido;Pista
2020;1;1;Courtney Edwards;Concluido;Pista Premium
2020;3;1;Curtis Hernandez;Problema no Pagamento;Pista Premium
2020;1;1;Daniel Puckett;Nao Concluido;Pista
2020;1;1;Deborah Silsby;Concluido;VIP
2020;1;1;Debra Howard;Nao Concluido;Pista
2020;1;1;Debra Howard;Problema no Pagamento;Pista
2020;1;1;Donna Chandler;Nao Concluido;VIP
2020;1;1;Donna Wal;Concluido;Pista
2020;3;1;Donna Wal;Problema no Pagamento;Pista Premium
2020;1;1;Edna Martinez;Problema no Pagamento;VIP
2020;2;1;Edna Martinez;Nao Concluido;VIP
2020;3;1;Eduardo Espenshade;Concluido;Pista Premium
2020;3;1;Edward Smith;Problema no Pagamento;Pista
2020;3;1;Elizabeth Daly;Problema no Pagamento;VIP
2020;1;1;Elizabeth Daly;Problema no Pagamento;Pista
2020;2;1;Emil Nord;Nao Concluido;Pista
2020;2;1;Felicia Hallman;Concluido;VIP
2020;2;1;Frances Lambert;Concluido;VIP
2020;2;1;Frank Davilla;Problema no Pagamento;Pista Premium
2020;2;1;Frank Houck;Problema no Pagamento;Pista
2020;1;1;Frank Houck;Problema no Pagamento;Pista Premium
2020;1;1;Frederick Bank;Problema no Pagamento;VIP
2020;2;1;Frederick Bank;Concluido;Pista Premium
2020;1;1;Gerald Allen;Nao Concluido;VIP
2020;1;1;Gretchen Hinojosa;Concluido;Pista
2020;1;1;Gretchen Hinojosa;Nao Concluido;Pista
2020;2;1;Guadalupe Bell;Concluido;VIP
2020;2;1;James Coffey;Problema no Pagamento;VIP
2020;2;1;James Reaves;Problema no Pagamento;Pista
2020;1;1;James Reaves;Problema no Pagamento;Pista Premium
2020;2;1;James Reaves;Problema no Pagamento;Pista Premium
2020;1;1;Jarrod Adler;Nao Concluido;Pista
2020;1;1;Jeffrey Pace;Nao Concluido;VIP
2020;2;1;John Rich;Problema no Pagamento;VIP
2020;2;1;John Rich;Problema no Pagamento;VIP
2020;3;1;John Rich;Problema no Pagamento;VIP
2020;2;1;John Rich;Problema no Pagamento;Pista
2020;2;1;John Rich;Concluido;Pista
2020;1;1;John Rich;Concluido;Pista Premium
2020;3;1;John Rich;Concluido;Pista Premium
2020;3;1;John Rich;Nao Concluido;Pista Premium
2020;3;1;Joseph Wray;Problema no Pagamento;Pista Premium
2020;1;1;Joshua Sanderson;Nao Concluido;Pista
2020;2;1;Kathleen Duncan;Concluido;Pista Premium
